family,analysis_condition,severity_index,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,feature_group,n_features,n_zero_reference_sd,n_zero_drift_denominator,n_infinite_feature_drifts,max_epsilon_x,mean_drift_reference_sd,endpoint_ba_mean,endpoint_ba_sd
location,30m_5db,7,environment,30m_5db,30.0,5.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.65,0.23145502494313785
location,30m_5db,7,environment,30m_5db,30.0,5.0,True,,mfcc,26,0,0,0,0.0001242907485961914,19.464459571219265,0.65,0.23145502494313785
location,30m_5db,7,environment,30m_5db,30.0,5.0,True,,time_domain,11,1,0,0,0.0029917410041680336,689.1208444146074,0.65,0.23145502494313785
location,30m_5db,7,environment,30m_5db,30.0,5.0,True,,frame_energy,8,2,0,0,0.00011432056513526511,26855206460619.492,0.65,0.23145502494313785
location,30m_5db,7,environment,30m_5db,30.0,5.0,True,,band_ratios,8,3,3,0,7.213711738586425e-07,0.9459815338836033,0.65,0.23145502494313785
location,30m_5db,7,environment,30m_5db,30.0,5.0,True,,local_transient,4,1,0,0,4.050676797735933e-05,5375363583646.313,0.65,0.23145502494313785
decay,reference,0,environment,reference,1.0,,False,,logmel,80,0,0,0,2.090121078491211e-05,0.0,1.0,0.0
decay,reference,0,environment,reference,1.0,,False,,spectral_stats,44,8,3,0,0.0068125,0.0,1.0,0.0
decay,reference,0,environment,reference,1.0,,False,,mfcc,26,0,0,0,0.00012828387451171874,0.0,1.0,0.0
decay,reference,0,environment,reference,1.0,,False,,time_domain,11,1,0,0,0.003812862150077976,0.0,1.0,0.0
decay,reference,0,environment,reference,1.0,,False,,frame_energy,8,2,0,0,0.00011155769921516387,0.0,1.0,0.0
decay,reference,0,environment,reference,1.0,,False,,band_ratios,8,3,3,0,5.037046074867249e-07,0.0,1.0,0.0
decay,reference,0,environment,reference,1.0,,False,,local_transient,4,1,0,0,5.032234721955521e-05,0.0,1.0,0.0
decay,1m_30db,1,environment,1m_30db,1.0,30.0,False,,logmel,80,0,0,0,2.090121078491211e-05,17.147894741963032,0.76,0.28996833043120623
decay,1m_30db,1,environment,1m_30db,1.0,30.0,False,,spectral_stats,44,8,3,3,0.0068125,inf,0.76,0.28996833043120623
decay,1m_30db,1,environment,1m_30db,1.0,30.0,False,,mfcc,26,0,0,0,0.00012828387451171874,3.6017196995678185,0.76,0.28996833043120623
decay,1m_30db,1,environment,1m_30db,1.0,30.0,False,,time_domain,11,1,0,0,0.003812862150077976,4.996702243800042,0.76,0.28996833043120623
decay,1m_30db,1,environment,1m_30db,1.0,30.0,False,,frame_energy,8,2,0,0,0.00011155769921516387,91721444949836.84,0.76,0.28996833043120623
decay,1m_30db,1,environment,1m_30db,1.0,30.0,False,,band_ratios,8,3,3,0,5.037046074867249e-07,1.2266195190374292,0.76,0.28996833043120623
decay,1m_30db,1,environment,1m_30db,1.0,30.0,False,,local_transient,4,1,0,0,5.032234721955521e-05,18559050822571.94,0.76,0.28996833043120623
decay,10m_30db,2,environment,10m_30db,10.0,30.0,True,,logmel,80,0,0,0,2.090121078491211e-05,13.792612572794145,0.69,0.2451571757390073
decay,10m_30db,2,environment,10m_30db,10.0,30.0,True,,spectral_stats,44,8,3,3,0.0068125,inf,0.69,0.2451571757390073
decay,10m_30db,2,environment,10m_30db,10.0,30.0,True,,mfcc,26,0,0,0,0.00012828387451171874,3.404713468409373,0.69,0.2451571757390073
decay,10m_30db,2,environment,10m_30db,10.0,30.0,True,,time_domain,11,1,0,0,0.003812862150077976,13.351807169955372,0.69,0.2451571757390073
decay,10m_30db,2,environment,10m_30db,10.0,30.0,True,,frame_energy,8,2,0,0,0.00011155769921516387,871151782100.8027,0.69,0.2451571757390073
decay,10m_30db,2,environment,10m_30db,10.0,30.0,True,,band_ratios,8,3,3,0,5.037046074867249e-07,1.2863853979105693,0.69,0.2451571757390073
decay,10m_30db,2,environment,10m_30db,10.0,30.0,True,,local_transient,4,1,0,0,5.032234721955521e-05,176925452757.2939,0.69,0.2451571757390073
decay,10m_15db,3,environment,10m_15db,10.0,15.0,True,,logmel,80,0,0,0,2.090121078491211e-05,16.49010572164814,0.67,0.27866298861615946
decay,10m_15db,3,environment,10m_15db,10.0,15.0,True,,spectral_stats,44,8,3,3,0.0068125,inf,0.67,0.27866298861615946
decay,10m_15db,3,environment,10m_15db,10.0,15.0,True,,mfcc,26,0,0,0,0.00012828387451171874,3.563760356626574,0.67,0.27866298861615946
decay,10m_15db,3,environment,10m_15db,10.0,15.0,True,,time_domain,11,1,0,0,0.003812862150077976,281.5411026864909,0.67,0.27866298861615946
decay,10m_15db,3,environment,10m_15db,10.0,15.0,True,,frame_energy,8,2,0,0,0.00011155769921516387,29179675068444.414,0.67,0.27866298861615946
decay,10m_15db,3,environment,10m_15db,10.0,15.0,True,,band_ratios,8,3,3,0,5.037046074867249e-07,1.4265372453129663,0.67,0.27866298861615946
decay,10m_15db,3,environment,10m_15db,10.0,15.0,True,,local_transient,4,1,0,0,5.032234721955521e-05,5908517313391.777,0.67,0.27866298861615946
decay,10m_5db,4,environment,10m_5db,10.0,5.0,True,,logmel,80,0,0,0,2.090121078491211e-05,18.162386831762667,0.83,0.23925906034920325
decay,10m_5db,4,environment,10m_5db,10.0,5.0,True,,spectral_stats,44,8,3,3,0.0068125,inf,0.83,0.23925906034920325
decay,10m_5db,4,environment,10m_5db,10.0,5.0,True,,mfcc,26,0,0,0,0.00012828387451171874,3.686885541907942,0.83,0.23925906034920325
decay,10m_5db,4,environment,10m_5db,10.0,5.0,True,,time_domain,11,1,0,0,0.003812862150077976,588.642250168216,0.83,0.23925906034920325
decay,10m_5db,4,environment,10m_5db,10.0,5.0,True,,frame_energy,8,2,0,0,0.00011155769921516387,279925966801279.94,0.83,0.23925906034920325
decay,10m_5db,4,environment,10m_5db,10.0,5.0,True,,band_ratios,8,3,3,0,5.037046074867249e-07,1.4594754737082993,0.83,0.23925906034920325
decay,10m_5db,4,environment,10m_5db,10.0,5.0,True,,local_transient,4,1,0,0,5.032234721955521e-05,57100064784348.9,0.83,0.23925906034920325
decay,30m_30db,5,environment,30m_30db,30.0,30.0,True,,logmel,80,0,0,0,2.090121078491211e-05,12.113215512700737,0.84,0.23560603574958058
decay,30m_30db,5,environment,30m_30db,30.0,30.0,True,,spectral_stats,44,8,3,3,0.0068125,inf,0.84,0.23560603574958058
decay,30m_30db,5,environment,30m_30db,30.0,30.0,True,,mfcc,26,0,0,0,0.00012828387451171874,3.2541921374521072,0.84,0.23560603574958058
decay,30m_30db,5,environment,30m_30db,30.0,30.0,True,,time_domain,11,1,0,0,0.003812862150077976,30.35173028393643,0.84,0.23560603574958058
decay,30m_30db,5,environment,30m_30db,30.0,30.0,True,,frame_energy,8,2,0,0,0.00011155769921516387,84572231344.68391,0.84,0.23560603574958058
decay,30m_30db,5,environment,30m_30db,30.0,30.0,True,,band_ratios,8,3,3,0,5.037046074867249e-07,1.2802296964356386,0.84,0.23560603574958058
decay,30m_30db,5,environment,30m_30db,30.0,30.0,True,,local_transient,4,1,0,0,5.032234721955521e-05,17134549375.872417,0.84,0.23560603574958058
decay,30m_15db,6,environment,30m_15db,30.0,15.0,True,,logmel,80,0,0,0,2.090121078491211e-05,14.790863387378229,0.4,0.30304576336566325
decay,30m_15db,6,environment,30m_15db,30.0,15.0,True,,spectral_stats,44,8,3,3,0.0068125,inf,0.4,0.30304576336566325
decay,30m_15db,6,environment,30m_15db,30.0,15.0,True,,mfcc,26,0,0,0,0.00012828387451171874,3.5093683143337495,0.4,0.30304576336566325
decay,30m_15db,6,environment,30m_15db,30.0,15.0,True,,time_domain,11,1,0,0,0.003812862150077976,308.66486483538984,0.4,0.30304576336566325
decay,30m_15db,6,environment,30m_15db,30.0,15.0,True,,frame_energy,8,2,0,0,0.00011155769921516387,2824138011265.1523,0.4,0.30304576336566325
decay,30m_15db,6,environment,30m_15db,30.0,15.0,True,,band_ratios,8,3,3,0,5.037046074867249e-07,1.46741580147915,0.4,0.30304576336566325
decay,30m_15db,6,environment,30m_15db,30.0,15.0,True,,local_transient,4,1,0,0,5.032234721955521e-05,568617371832.0845,0.4,0.30304576336566325
decay,30m_5db,7,environment,30m_5db,30.0,5.0,True,,logmel,80,0,0,0,2.090121078491211e-05,16.52546926980181,0.56,0.23989793748209523
decay,30m_5db,7,environment,30m_5db,30.0,5.0,True,,spectral_stats,44,8,3,3,0.0068125,inf,0.56,0.23989793748209523
decay,30m_5db,7,environment,30m_5db,30.0,5.0,True,,mfcc,26,0,0,0,0.00012828387451171874,3.5759949696560187,0.56,0.23989793748209523
decay,30m_5db,7,environment,30m_5db,30.0,5.0,True,,time_domain,11,1,0,0,0.003812862150077976,612.6265707410689,0.56,0.23989793748209523
decay,30m_5db,7,environment,30m_5db,30.0,5.0,True,,frame_energy,8,2,0,0,0.00011155769921516387,29283585430630.906,0.56,0.23989793748209523
decay,30m_5db,7,environment,30m_5db,30.0,5.0,True,,band_ratios,8,3,3,0,5.037046074867249e-07,1.4364903074056927,0.56,0.23989793748209523
decay,30m_5db,7,environment,30m_5db,30.0,5.0,True,,local_transient,4,1,0,0,5.032234721955521e-05,5895934257018.74,0.56,0.23989793748209523
sharpness,reference,0,environment,reference,1.0,,False,,logmel,80,0,0,0,2.028237724304199e-05,0.0,1.0,0.0
sharpness,reference,0,environment,reference,1.0,,False,,spectral_stats,44,9,3,0,0.0068125,0.0,1.0,0.0
sharpness,reference,0,environment,reference,1.0,,False,,mfcc,26,0,0,0,0.0001247572021484375,0.0,1.0,0.0
sharpness,reference,0,environment,reference,1.0,,False,,time_domain,11,1,0,0,0.002413111788234003,0.0,1.0,0.0
sharpness,reference,0,environment,reference,1.0,,False,,frame_energy,8,2,0,0,0.0006073271663641753,0.0,1.0,0.0
sharpness,reference,0,environment,reference,1.0,,False,,band_ratios,8,3,3,0,9.752535820007324e-07,0.0,1.0,0.0
sharpness,reference,0,environment,reference,1.0,,False,,local_transient,4,1,0,0,0.00014184251610667312,0.0,1.0,0.0
sharpness,1m_30db,1,environment,1m_30db,1.0,30.0,False,,logmel,80,0,0,0,2.028237724304199e-05,75.40153206635972,1.0,0.0
sharpness,1m_30db,1,environment,1m_30db,1.0,30.0,False,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
sharpness,1m_30db,1,environment,1m_30db,1.0,30.0,False,,mfcc,26,0,0,0,0.0001247572021484375,11.240461318225101,1.0,0.0
sharpness,1m_30db,1,environment,1m_30db,1.0,30.0,False,,time_domain,11,1,0,0,0.002413111788234003,20.73818035138525,1.0,0.0
sharpness,1m_30db,1,environment,1m_30db,1.0,30.0,False,,frame_energy,8,2,0,0,0.0006073271663641753,100352150110958.97,1.0,0.0
sharpness,1m_30db,1,environment,1m_30db,1.0,30.0,False,,band_ratios,8,3,3,0,9.752535820007324e-07,0.3002001204121837,1.0,0.0
sharpness,1m_30db,1,environment,1m_30db,1.0,30.0,False,,local_transient,4,1,0,0,0.00014184251610667312,20357056971334.19,1.0,0.0
sharpness,10m_30db,2,environment,10m_30db,10.0,30.0,True,,logmel,80,0,0,0,2.028237724304199e-05,57.53275317082487,1.0,0.0
sharpness,10m_30db,2,environment,10m_30db,10.0,30.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
sharpness,10m_30db,2,environment,10m_30db,10.0,30.0,True,,mfcc,26,0,0,0,0.0001247572021484375,10.109831556877207,1.0,0.0
sharpness,10m_30db,2,environment,10m_30db,10.0,30.0,True,,time_domain,11,1,0,0,0.002413111788234003,26.816349561557992,1.0,0.0
sharpness,10m_30db,2,environment,10m_30db,10.0,30.0,True,,frame_energy,8,2,0,0,0.0006073271663641753,845680035743.0488,1.0,0.0
sharpness,10m_30db,2,environment,10m_30db,10.0,30.0,True,,band_ratios,8,3,3,0,9.752535820007324e-07,0.32749692099127997,1.0,0.0
