sample_id,status,action,reason,published_path,archive_path
F_103,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_103,dataset_rejected\flyball_v2_20260727\batch_01\F_103
F_104,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_104,dataset_rejected\flyball_v2_20260727\batch_01\F_104
F_105,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_105,dataset_rejected\flyball_v2_20260727\batch_01\F_105
F_106,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_106,dataset_rejected\flyball_v2_20260727\batch_01\F_106
F_107,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_107,dataset_rejected\flyball_v2_20260727\batch_01\F_107
F_108,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_108,dataset_rejected\flyball_v2_20260727\batch_01\F_108
F_109,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_109,dataset_rejected\flyball_v2_20260727\batch_01\F_109
F_110,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_110,dataset_rejected\flyball_v2_20260727\batch_01\F_110
F_111,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_111,dataset_rejected\flyball_v2_20260727\batch_01\F_111
F_112,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_112,dataset_rejected\flyball_v2_20260727\batch_01\F_112
F_113,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_113,dataset_rejected\flyball_v2_20260727\batch_01\F_113
F_114,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_114,dataset_rejected\flyball_v2_20260727\batch_01\F_114
F_115,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_115,dataset_rejected\flyball_v2_20260727\batch_01\F_115
F_116,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_116,dataset_rejected\flyball_v2_20260727\batch_01\F_116
F_117,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_117,dataset_rejected\flyball_v2_20260727\batch_01\F_117
F_118,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_118,dataset_rejected\flyball_v2_20260727\batch_01\F_118
F_119,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_119,dataset_rejected\flyball_v2_20260727\batch_01\F_119
F_120,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_120,dataset_rejected\flyball_v2_20260727\batch_01\F_120
F_121,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_121,dataset_rejected\flyball_v2_20260727\batch_01\F_121
F_123,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_123,dataset_rejected\flyball_v2_20260727\batch_01\F_123
F_124,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_124,dataset_rejected\flyball_v2_20260727\batch_01\F_124
F_125,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_125,dataset_rejected\flyball_v2_20260727\batch_01\F_125
F_127,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_127,dataset_rejected\flyball_v2_20260727\batch_01\F_127
F_128,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_128,dataset_rejected\flyball_v2_20260727\batch_01\F_128
F_129,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_129,dataset_rejected\flyball_v2_20260727\batch_01\F_129
F_130,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_130,dataset_rejected\flyball_v2_20260727\batch_01\F_130
F_131,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_131,dataset_rejected\flyball_v2_20260727\batch_01\F_131
F_132,permissive_reject,empty_placeholder,one review stage explicitly found the sample unusable,dataset\fly_ball\Codex_Workstation\F_132,dataset_rejected\flyball_v2_20260727\batch_01\F_132
F_133,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_133,dataset_rejected\flyball_v2_20260727\batch_01\F_133
F_134,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_134,dataset_rejected\flyball_v2_20260727\batch_01\F_134
F_135,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_135,dataset_rejected\flyball_v2_20260727\batch_01\F_135
F_136,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_136,dataset_rejected\flyball_v2_20260727\batch_01\F_136
F_138,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_138,dataset_rejected\flyball_v2_20260727\batch_01\F_138
F_139,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_139,dataset_rejected\flyball_v2_20260727\batch_01\F_139
F_140,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_140,dataset_rejected\flyball_v2_20260727\batch_01\F_140
F_142,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_142,dataset_rejected\flyball_v2_20260727\batch_01\F_142
F_143,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_143,dataset_rejected\flyball_v2_20260727\batch_01\F_143
F_144,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_144,dataset_rejected\flyball_v2_20260727\batch_01\F_144
F_145,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_145,dataset_rejected\flyball_v2_20260727\batch_01\F_145
F_146,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_146,dataset_rejected\flyball_v2_20260727\batch_01\F_146
F_147,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_147,dataset_rejected\flyball_v2_20260727\batch_01\F_147
